iter	Logloss
0	0.6689980077
1	0.6475466097
2	0.6280899326
3	0.608156682
4	0.5873587943
5	0.5675047239
6	0.5512428252
7	0.5388430125
8	0.5247018973
9	0.5082802913
10	0.5009576566
11	0.4865369572
12	0.4740393096
13	0.4624886155
14	0.4534641885
15	0.4457344943
16	0.4394615359
17	0.4324846975
18	0.42353154
19	0.4156842234
20	0.4094785299
21	0.405466783
22	0.3984552185
23	0.3939542848
24	0.3859684829
25	0.3798304708
26	0.3753613589
27	0.372422855
28	0.3671411835
29	0.3615222127
30	0.3579108167
31	0.3539944857
32	0.3487081758
33	0.3442029203
34	0.3400806438
35	0.3354403768
36	0.3306575648
37	0.3268114765
38	0.3230331883
39	0.3208009502
40	0.3178025958
41	0.31699681
42	0.3133536098
43	0.3110761466
44	0.3089250506
45	0.3079712078
46	0.3059081745
47	0.3030773849
48	0.301092243
49	0.2988336691
50	0.2964435796
51	0.2946841883
52	0.2927829113
53	0.290396362
54	0.2886566144
55	0.2867943878
56	0.2840309125
57	0.2821901126
58	0.2798637319
59	0.2778804329
60	0.2763674007
61	0.2741887719
62	0.2724709983
63	0.270518149
64	0.2694310103
65	0.2673415224
66	0.2651597415
67	0.2636117189
68	0.2623407855
69	0.2609226872
70	0.2602044671
71	0.2590309323
72	0.2575246741
73	0.2565382985
74	0.2555140097
75	0.2545431977
76	0.2536635818
77	0.2521552696
78	0.2504249995
79	0.2496128564
80	0.248685904
81	0.2472066519
82	0.2463380165
83	0.2456052551
84	0.24431482
85	0.2432592895
86	0.2417334136
87	0.2413992948
88	0.2405907303
89	0.2398510002
90	0.2389420254
91	0.2379135113
92	0.2369379141
93	0.2354916491
94	0.2344479913
95	0.2338925222
96	0.2338910603
97	0.2328733735
98	0.2311104197
99	0.2304636287
100	0.230170457
101	0.2296846642
102	0.228362785
103	0.2280428002
104	0.2277161484
105	0.2276485765
106	0.2264684094
107	0.2257976002
108	0.2245743037
109	0.2236969901
110	0.2235110173
111	0.2232867519
112	0.222906337
113	0.2220986631
114	0.2212974239
115	0.2209104598
116	0.2200570987
117	0.2197200343
118	0.2196617105
119	0.2188335373
120	0.2180598291
121	0.2165681867
122	0.2157961521
123	0.2155478397
124	0.2141526126
125	0.2141526113
126	0.2134915137
127	0.2134915137
128	0.2126011436
129	0.2123593517
130	0.212003704
131	0.2120037011
132	0.2115752377
133	0.2112689965
134	0.2104879327
135	0.2093143338
136	0.2093143336
137	0.2080900761
138	0.207472475
139	0.2073602533
140	0.2060818992
141	0.2055891571
142	0.2049880714
143	0.203674952
144	0.2035411407
145	0.2034604877
146	0.203258236
147	0.2032582303
148	0.2029242299
149	0.202893783
150	0.2019873233
151	0.2014985302
152	0.2010054126
153	0.1996418545
154	0.1988310719
155	0.1983674917
156	0.1975671791
157	0.1974410022
158	0.1974409896
159	0.1971461244
160	0.1965233509
161	0.1956051867
162	0.1954704207
163	0.1950381629
164	0.1944939126
165	0.1938455219
166	0.1934853761
167	0.1929237099
168	0.1923986343
169	0.1919478879
170	0.1915319108
171	0.1910268448
172	0.1902848548
173	0.1901610178
174	0.1897813095
175	0.1897755389
176	0.1896515811
177	0.1894159477
178	0.1893291929
179	0.1890300207
180	0.1887139936
181	0.1886810187
182	0.1881941476
183	0.187412114
184	0.1868247527
185	0.1865844845
186	0.1862392084
187	0.1859660956
188	0.1858017964
189	0.1855583001
190	0.1850567422
191	0.184346993
192	0.1837398751
193	0.1833555709
194	0.1829576538
195	0.1828777901
196	0.1828317564
197	0.1824171887
198	0.1822459748
199	0.1820756187
200	0.1818425419
201	0.1816773592
202	0.1816069649
203	0.180945053
204	0.1801763913
205	0.1800714166
206	0.1794778401
207	0.1786537657
208	0.1786537618
209	0.1780420486
210	0.1777960185
211	0.1777142662
212	0.177617079
213	0.1773274743
214	0.177243744
215	0.1770278546
216	0.1770062082
217	0.1769585099
218	0.1768964383
219	0.1766614907
220	0.1766614901
221	0.1764980978
222	0.1756505242
223	0.1752814192
224	0.1743252586
225	0.1736988654
226	0.1733663819
227	0.1732496664
228	0.172210971
229	0.1721870054
230	0.172120267
231	0.1721160171
232	0.1719376687
233	0.1711566923
234	0.171156692
235	0.1710136455
236	0.170972652
237	0.1709726121
238	0.1695021284
239	0.1695021239
240	0.1693904967
241	0.1690243172
242	0.1687643128
243	0.1683321443
244	0.1676890789
245	0.1676451798
246	0.1670909398
247	0.1662733966
248	0.1660680229
249	0.1653898841
250	0.1648914493
251	0.1648087839
252	0.1647241297
253	0.164681663
254	0.1644534047
255	0.1637163248
256	0.1631490948
257	0.1630211329
258	0.1626378899
259	0.1619173833
260	0.1617050639
261	0.1616617736
262	0.1614784138
263	0.1612564739
264	0.1611963269
265	0.1605718788
266	0.1605718787
267	0.1597522469
268	0.159749507
269	0.1597469154
270	0.1590635106
271	0.1588623316
272	0.1588202067
273	0.1584978948
274	0.158497893
275	0.1583997471
276	0.1575397398
277	0.1575143081
278	0.1570790717
279	0.1567564192
280	0.1566980621
281	0.1565846288
282	0.1560788086
283	0.1560590096
284	0.1560037046
285	0.155805445
286	0.1557641002
287	0.1556570367
288	0.1546621041
289	0.1545097814
290	0.1542557176
291	0.1537092774
292	0.15352719
293	0.1531385958
294	0.1529605294
295	0.152253314
296	0.1521018836
297	0.1517435551
298	0.1515819228
299	0.15097725
300	0.1503496814
301	0.150188105
302	0.1498998859
303	0.1495896424
304	0.1487342769
305	0.1486853939
306	0.1486127959
307	0.1483496394
308	0.1479518773
309	0.1477295341
310	0.1472465362
311	0.1471257254
312	0.1469874215
313	0.1469774479
314	0.146922555
315	0.1468270017
316	0.1466689863
317	0.1466358347
318	0.1464244512
319	0.1463399509
320	0.1451214191
321	0.1446013834
322	0.144524597
323	0.1440565023
324	0.1432485717
325	0.1431620588
326	0.1424863173
327	0.1422037153
328	0.1417298223
329	0.1410879961
330	0.1402531674
331	0.1402204195
332	0.1401921294
333	0.1401054168
334	0.1397737861
335	0.1389134545
336	0.1388420666
337	0.1383088585
338	0.138153635
339	0.1378754205
340	0.1378097536
341	0.1376184997
342	0.1374074157
343	0.1373247596
344	0.1370399809
345	0.1365865362
346	0.1360375872
347	0.1357696102
348	0.1355099318
349	0.1349173987
350	0.1344794961
351	0.1340382735
352	0.1335362609
353	0.1333978993
354	0.1333444179
355	0.1329500161
356	0.1325838217
357	0.132550467
358	0.132472687
359	0.1324291495
360	0.1324065491
361	0.1319588068
362	0.1319342075
363	0.1314954829
364	0.1306989985
365	0.1306299456
366	0.1303056433
367	0.1298388891
368	0.1295202904
369	0.1291600179
370	0.1285321983
371	0.12850004
372	0.1281647742
373	0.1279615796
374	0.1278877307
375	0.1277605076
376	0.1273886255
377	0.1271861917
378	0.1271006358
379	0.1270606224
380	0.1264616796
381	0.1262829584
382	0.1258598716
383	0.125411917
384	0.1253613832
385	0.1248641532
386	0.1246624722
387	0.1242972669
388	0.12408277
389	0.1240362465
390	0.1235720275
391	0.1230839043
392	0.1227876945
393	0.1226649954
394	0.1226491873
395	0.1223667653
396	0.122181427
397	0.1216003214
398	0.1212715387
399	0.1209525158
400	0.1205941738
401	0.1205071832
402	0.1200890439
403	0.119788961
404	0.1193627899
405	0.1190481671
406	0.1187071093
407	0.1182524122
408	0.1179075478
409	0.1177792453
410	0.1174294043
411	0.1169755821
412	0.1165803284
413	0.1165133044
414	0.1163727786
415	0.1163480073
416	0.1160708795
417	0.115849528
418	0.1156347174
419	0.1154753941
420	0.1152518878
421	0.1151018973
422	0.1150247048
423	0.1147181265
424	0.1142400153
425	0.1141445551
426	0.1137754102
427	0.1135280435
428	0.1131839073
429	0.1126758155
430	0.112387335
431	0.1123273618
432	0.1122385705
433	0.1114551169
434	0.1114317257
435	0.1111625973
436	0.1110056299
437	0.1106813274
438	0.1105367787
439	0.1101859958
440	0.1100552457
441	0.1096565561
442	0.1095213929
443	0.109291047
444	0.1088856992
445	0.1087648039
446	0.1086988818
447	0.1084593884
448	0.108255154
449	0.1079226728
450	0.1078848796
451	0.1077483536
452	0.1075955833
453	0.1074668816
454	0.107355568
455	0.1071348316
456	0.1067665464
457	0.1066457442
458	0.1065828849
459	0.1064669129
460	0.1063394126
461	0.1059808295
462	0.1057526734
463	0.105552111
464	0.1053041943
465	0.1051089969
466	0.1045098135
467	0.1039699421
468	0.103658708
469	0.103337598
470	0.1029157476
471	0.1028687492
472	0.1022941722
473	0.1020882165
474	0.1017534504
475	0.1012602016
476	0.1010013705
477	0.1008764149
478	0.1008174296
479	0.1005943731
480	0.1003512015
481	0.09982452717
482	0.09979222459
483	0.09969436977
484	0.09958225514
485	0.09935392976
486	0.09927269876
487	0.09894523925
488	0.09848906664
489	0.09841204464
490	0.09831167642
491	0.09811258031
492	0.09809320926
493	0.09806749485
494	0.09801201943
495	0.09792549731
496	0.09779237741
497	0.09747297011
498	0.09728996817
499	0.09689266368
500	0.09667954259
501	0.09665846572
502	0.09664758719
503	0.09663834596
504	0.09648452594
505	0.0962114991
506	0.09615037573
507	0.0960600638
508	0.09574759154
509	0.09549961115
510	0.09527119611
511	0.09518616019
512	0.09517635194
513	0.09497932164
514	0.09485935597
515	0.09437071203
516	0.09427787297
517	0.0939842715
518	0.0939673223
519	0.09383580188
520	0.09380673606
521	0.093717012
522	0.09351501923
523	0.09328326595
524	0.09312684377
525	0.09293370979
526	0.09263593894
527	0.09243009703
528	0.09233473749
529	0.09228071606
530	0.0922063997
531	0.09212572938
532	0.09187226017
533	0.09166679729
534	0.09141292359
535	0.09105471063
536	0.09065410996
537	0.09056996826
538	0.09039969835
539	0.09023711703
540	0.09022568709
541	0.08992487667
542	0.08943166796
543	0.08931401922
544	0.08929972388
545	0.08927270113
546	0.08925932845
547	0.08858927102
548	0.08846504292
549	0.08811455602
550	0.08800495403
551	0.08768306442
552	0.08762057369
553	0.0875887687
554	0.0871732973
555	0.08679016214
556	0.08677435044
557	0.08673789213
558	0.0866626993
559	0.08614808069
560	0.08593956895
561	0.08587373912
562	0.0856680401
563	0.08558406922
564	0.08546761248
565	0.08516112524
566	0.08510509763
567	0.08483694724
568	0.08468440853
569	0.08445425307
570	0.08425495782
571	0.08396528388
572	0.08360329262
573	0.08341418028
574	0.08318070821
575	0.08281532199
576	0.08243956473
577	0.08206921165
578	0.08178689939
579	0.08149263262
580	0.0811499232
581	0.08108979315
582	0.08089966189
583	0.08067767774
584	0.08048549976
585	0.08035642338
586	0.0802047479
587	0.0800435016
588	0.07973814869
589	0.07960239645
590	0.07955566159
591	0.0795474068
592	0.07953201186
593	0.07914568043
594	0.0788458268
595	0.07876838586
596	0.07865361672
597	0.07830147318
598	0.07809215487
599	0.07801118809
600	0.07770917221
601	0.07752332275
602	0.07741556034
603	0.07730945716
604	0.07701025406
605	0.07696885204
606	0.07677126497
607	0.07644297207
608	0.07631576994
609	0.07621581946
610	0.07601496275
611	0.0758970475
612	0.0756430612
613	0.07551609233
614	0.07529850529
615	0.07500933794
616	0.07477572876
617	0.0746722003
618	0.07440495509
619	0.07423518035
620	0.07409545067
621	0.07385341139
622	0.07367575485
623	0.07349496902
624	0.07341912352
625	0.07323249178
626	0.07322123972
627	0.0731963112
628	0.07318761948
629	0.07305774051
630	0.07299622593
631	0.07273000523
632	0.07266749483
633	0.07265891474
634	0.07265341625
635	0.07250525366
636	0.07246499151
637	0.07229734189
638	0.07217716459
639	0.07211165585
640	0.07210380404
641	0.07197765274
642	0.07187422624
643	0.07159829775
644	0.0715915395
645	0.07154615382
646	0.07139371593
647	0.07137841674
648	0.07117477524
649	0.07096762816
650	0.07077001335
651	0.0705643616
652	0.07022123377
653	0.07009757582
654	0.06984100871
655	0.06973172283
656	0.06954033878
657	0.06948163812
658	0.06947196968
659	0.06942146778
660	0.0692819593
661	0.06901251765
662	0.06899322123
663	0.06891803512
664	0.06889976758
665	0.06867416546
666	0.068603147
667	0.06855454675
668	0.06830388245
669	0.06828618777
670	0.06816781127
671	0.06792794721
672	0.06777269525
673	0.06756131577
674	0.0675546723
675	0.06748213942
676	0.06728365234
677	0.06713204298
678	0.0669582996
679	0.06685566559
680	0.06667965394
681	0.06635629126
682	0.06626662744
683	0.06624990672
684	0.06615524325
685	0.0661249328
686	0.0660031274
687	0.06596565182
688	0.06581418437
689	0.06565705644
690	0.06555702042
691	0.06537839747
692	0.06528368534
693	0.06505906824
694	0.06484965373
695	0.06472544966
696	0.06466099965
697	0.06457019729
698	0.06454497127
699	0.06433651271
700	0.06433156541
701	0.06407220579
702	0.06399204271
703	0.06395389195
704	0.06378569164
705	0.06361290189
706	0.06342087267
707	0.06328195587
708	0.06315400632
