iter	Passed	Remaining
0	2	2277
1	4	2182
2	6	2162
3	8	2129
4	10	2103
5	12	2077
6	14	2062
7	16	2040
8	18	2026
9	20	2019
10	21	1963
11	23	1963
12	25	1960
13	27	1958
14	29	1959
15	31	1949
16	32	1894
17	34	1882
18	36	1896
19	38	1890
20	40	1889
21	41	1850
22	43	1853
23	45	1851
24	47	1855
25	49	1863
26	51	1866
27	53	1847
28	55	1847
29	57	1851
30	59	1850
31	61	1855
32	63	1855
33	65	1856
34	67	1858
35	69	1861
36	71	1861
37	73	1860
38	75	1857
39	77	1852
40	79	1851
41	80	1834
42	82	1835
43	85	1849
44	87	1852
45	88	1840
46	90	1841
47	92	1842
48	95	1853
49	97	1861
50	99	1859
51	102	1870
52	104	1871
53	106	1871
54	108	1871
55	110	1870
56	113	1885
57	115	1882
58	117	1880
59	119	1878
60	122	1880
61	124	1880
62	126	1878
63	128	1877
64	130	1875
65	132	1873
66	134	1873
67	136	1869
68	139	1877
69	141	1875
70	143	1871
71	145	1870
72	147	1869
73	149	1866
74	151	1864
75	153	1861
76	155	1858
77	157	1856
78	159	1855
79	161	1852
80	162	1849
81	165	1847
82	167	1847
83	169	1851
84	171	1849
85	173	1847
86	176	1847
87	177	1844
88	179	1841
89	181	1839
90	183	1836
91	185	1833
92	187	1832
93	190	1831
94	192	1829
95	194	1827
96	195	1822
97	197	1821
98	199	1820
99	201	1816
100	203	1812
101	205	1809
102	207	1807
103	209	1806
104	211	1802
105	212	1796
106	215	1795
107	217	1793
108	219	1793
109	221	1792
110	223	1790
111	225	1788
112	226	1780
113	228	1778
114	230	1776
115	232	1772
116	234	1771
117	236	1765
118	237	1759
119	239	1757
120	241	1755
121	243	1753
122	245	1752
123	247	1750
124	249	1749
125	250	1740
126	252	1737
127	253	1728
128	255	1727
129	257	1725
130	259	1723
131	260	1714
132	263	1714
133	264	1711
134	266	1709
135	268	1706
136	269	1698
137	271	1697
138	273	1696
139	275	1692
140	277	1691
141	279	1690
142	282	1693
143	284	1691
144	286	1689
145	288	1688
146	290	1685
147	291	1678
148	293	1676
149	294	1670
150	296	1669
151	298	1667
152	300	1665
153	302	1664
154	304	1662
155	307	1661
156	309	1660
157	311	1659
158	312	1652
159	314	1650
160	316	1649
161	318	1647
162	320	1644
163	322	1643
164	324	1642
165	326	1641
166	328	1638
167	330	1636
168	332	1634
169	334	1632
170	336	1630
171	338	1628
172	340	1626
173	341	1623
174	343	1621
175	345	1615
176	346	1612
177	348	1610
178	350	1608
179	352	1606
180	354	1605
181	356	1600
182	358	1598
183	360	1597
184	362	1596
185	364	1594
186	366	1593
187	368	1591
188	370	1589
189	372	1587
190	374	1585
191	376	1583
192	378	1582
193	380	1580
194	382	1578
195	384	1576
196	385	1572
197	387	1570
198	389	1568
199	391	1566
200	393	1564
201	395	1562
202	397	1559
203	399	1557
204	401	1555
205	402	1552
206	404	1551
207	407	1552
208	408	1547
209	411	1547
210	412	1542
211	414	1540
212	416	1537
213	418	1535
214	420	1533
215	422	1531
216	423	1526
217	424	1524
218	426	1522
219	429	1521
220	430	1517
221	432	1515
222	434	1513
223	436	1511
224	438	1510
225	440	1509
226	442	1507
227	444	1506
228	447	1504
229	448	1502
230	450	1500
231	452	1496
232	453	1494
233	456	1493
234	457	1488
235	459	1486
236	460	1483
237	462	1479
238	464	1478
239	465	1474
240	467	1472
241	469	1470
242	471	1468
243	473	1466
244	475	1465
245	477	1463
246	479	1461
247	481	1460
248	483	1458
249	485	1456
250	487	1454
251	489	1451
252	490	1449
253	493	1448
254	494	1445
255	496	1443
256	498	1442
257	500	1440
258	502	1438
259	504	1436
260	506	1435
261	508	1433
262	510	1431
263	512	1430
264	514	1428
265	517	1426
266	518	1422
267	520	1420
268	521	1416
269	522	1412
270	524	1410
271	526	1407
272	527	1405
273	529	1403
274	530	1399
275	532	1397
276	534	1396
277	536	1394
278	538	1392
279	540	1390
280	542	1388
281	544	1386
282	546	1384
283	548	1381
284	550	1379
285	551	1377
286	553	1376
287	555	1374
288	558	1372
289	559	1370
290	561	1369
291	563	1367
292	565	1365
293	567	1363
294	569	1361
295	571	1359
296	573	1357
297	575	1356
298	577	1354
299	579	1352
300	581	1351
301	583	1349
302	585	1347
303	587	1346
304	590	1344
305	592	1342
306	594	1341
307	596	1339
308	598	1337
309	599	1335
310	601	1333
311	604	1332
312	605	1330
313	608	1328
314	609	1326
315	611	1324
316	613	1322
317	615	1320
318	617	1318
319	619	1317
320	622	1315
321	624	1314
322	626	1312
323	628	1311
324	630	1309
325	632	1307
326	634	1306
327	636	1304
328	638	1302
329	640	1300
330	642	1299
331	644	1297
332	646	1295
333	648	1293
334	650	1291
335	652	1290
336	654	1288
337	656	1286
338	658	1284
339	660	1282
340	662	1280
341	664	1279
342	666	1277
343	668	1275
344	671	1274
345	673	1272
346	675	1270
347	677	1268
348	679	1267
349	681	1265
350	683	1263
351	685	1261
352	687	1259
353	689	1258
354	691	1256
355	693	1253
356	695	1252
357	697	1250
358	699	1248
359	701	1246
360	703	1244
361	705	1243
362	707	1241
363	709	1239
364	711	1238
365	713	1236
366	715	1234
367	717	1232
368	719	1231
369	721	1229
370	724	1227
371	726	1226
372	728	1224
373	730	1222
374	732	1220
375	734	1218
376	736	1216
377	738	1214
378	740	1213
379	742	1211
380	744	1209
381	746	1207
382	748	1205
383	750	1203
384	752	1202
385	754	1200
386	756	1198
387	758	1196
388	760	1194
389	762	1192
390	764	1190
391	766	1189
392	768	1187
393	770	1185
394	772	1183
395	774	1181
396	776	1180
397	778	1178
398	780	1176
399	782	1174
400	784	1172
401	786	1170
402	789	1168
403	791	1167
404	793	1165
405	795	1163
406	797	1162
407	799	1160
408	801	1158
409	803	1156
410	805	1154
411	807	1152
412	809	1150
413	811	1148
414	813	1146
415	815	1144
416	817	1142
417	819	1140
418	821	1139
419	823	1136
420	825	1134
421	827	1133
422	829	1131
423	831	1129
424	833	1127
425	835	1125
426	837	1123
427	839	1121
428	845	1124
429	847	1123
430	849	1121
431	851	1119
432	852	1116
433	855	1115
434	856	1113
435	860	1112
436	862	1110
437	864	1108
438	865	1106
439	867	1104
440	869	1102
441	871	1100
442	873	1098
443	875	1096
444	878	1095
445	880	1093
446	882	1091
447	884	1089
448	886	1087
449	888	1085
450	890	1083
451	892	1081
452	894	1079
453	895	1077
454	898	1075
455	900	1073
456	902	1072
457	904	1070
458	906	1068
459	908	1066
460	910	1064
461	912	1062
462	914	1060
463	916	1058
464	918	1056
465	920	1054
466	922	1053
467	924	1051
468	926	1049
469	928	1047
470	930	1045
471	932	1043
472	935	1041
473	937	1040
474	939	1037
475	941	1035
476	943	1034
477	945	1032
478	947	1030
479	949	1028
480	951	1026
481	953	1024
482	955	1022
483	957	1021
484	959	1018
485	961	1017
486	963	1015
487	966	1013
488	968	1011
489	970	1009
490	971	1007
491	973	1005
492	975	1003
493	977	1001
494	979	999
495	981	997
496	983	995
497	985	993
498	987	991
499	989	989
500	991	987
501	993	985
502	995	983
503	997	981
504	999	979
505	1001	978
506	1003	976
507	1006	974
508	1007	972
509	1009	970
510	1011	968
511	1013	966
512	1015	964
513	1017	962
514	1019	960
515	1021	958
516	1023	956
517	1025	954
518	1027	952
519	1029	950
520	1031	948
521	1033	946
522	1035	944
523	1037	942
524	1039	940
525	1041	938
526	1043	936
527	1045	934
528	1048	933
529	1050	931
530	1051	929
531	1054	927
532	1055	925
533	1058	923
534	1059	921
535	1062	919
536	1064	917
537	1066	915
538	1067	913
539	1069	911
540	1072	909
541	1074	907
542	1076	905
543	1078	903
544	1079	901
545	1081	899
546	1084	897
547	1086	895
548	1087	893
549	1089	891
550	1091	889
551	1093	887
552	1095	885
553	1097	883
554	1099	881
555	1102	880
556	1104	878
557	1106	876
558	1108	874
559	1111	873
560	1113	871
561	1115	869
562	1117	867
563	1119	865
564	1121	863
565	1123	861
566	1125	859
567	1127	857
568	1129	855
569	1131	853
570	1133	851
571	1135	849
572	1137	847
573	1139	845
574	1141	843
575	1143	841
576	1145	839
577	1147	837
578	1149	835
579	1151	834
580	1153	832
581	1155	830
582	1157	828
583	1159	826
584	1162	824
585	1164	822
586	1166	820
587	1168	818
588	1170	816
589	1172	814
590	1174	812
591	1176	810
592	1178	808
593	1180	806
594	1182	804
595	1184	802
596	1186	800
597	1188	798
598	1190	796
599	1192	794
600	1194	792
601	1196	791
602	1198	789
603	1200	787
604	1202	785
605	1204	783
606	1206	781
607	1208	779
608	1210	777
609	1212	775
610	1214	773
611	1216	771
612	1218	769
613	1220	767
614	1222	765
615	1224	763
616	1226	761
617	1229	759
618	1231	757
619	1233	755
620	1235	753
621	1237	751
622	1239	749
623	1241	747
624	1243	745
625	1245	743
626	1247	741
627	1249	739
628	1251	737
629	1253	735
630	1255	734
631	1257	732
632	1259	730
633	1261	728
634	1263	726
635	1265	724
636	1267	722
637	1269	720
638	1271	718
639	1273	716
640	1275	714
641	1277	712
642	1279	710
643	1281	708
644	1283	706
645	1286	704
646	1287	702
647	1289	700
648	1291	698
649	1293	696
650	1295	694
651	1297	692
652	1299	690
653	1301	688
654	1303	686
655	1305	684
656	1307	682
657	1309	680
658	1311	678
659	1313	676
660	1315	674
661	1317	672
662	1319	670
663	1321	668
664	1323	666
665	1325	664
666	1327	662
667	1329	660
668	1331	658
669	1333	656
670	1335	654
671	1337	652
672	1339	650
673	1341	648
674	1343	646
675	1345	644
676	1347	642
677	1349	640
678	1350	638
679	1352	636
680	1355	634
681	1357	632
682	1359	630
683	1360	628
684	1363	626
685	1365	624
686	1366	622
687	1368	620
688	1370	618
689	1373	616
690	1374	614
691	1376	612
692	1378	610
693	1381	608
694	1383	606
695	1385	605
696	1387	603
697	1389	601
698	1391	599
699	1393	597
700	1395	595
701	1397	593
702	1399	591
703	1401	589
704	1403	587
705	1405	585
706	1407	583
707	1409	581
708	1411	579
709	1414	577
710	1416	575
711	1418	573
712	1420	571
713	1422	569
714	1424	567
715	1426	565
716	1428	563
717	1430	561
718	1432	559
719	1434	557
720	1436	555
721	1438	553
722	1440	551
723	1442	549
724	1443	547
725	1445	545
726	1447	543
727	1449	541
728	1451	539
729	1453	537
730	1455	535
731	1457	533
732	1459	531
733	1461	529
734	1463	527
735	1465	525
736	1467	523
737	1469	521
738	1471	519
739	1473	517
740	1475	515
741	1477	513
742	1479	511
743	1481	509
744	1483	507
745	1485	505
746	1487	503
747	1489	501
748	1490	499
749	1492	497
750	1494	495
751	1496	493
752	1498	491
753	1500	489
